"name","counts","id","artistart","song_names_list"
"Anita Baker",5,"46CH1Gp8l8QVly8bpG9JFG","https://i.scdn.co/image/ab6761610000e5eb493566931abd16170b8e4df3","1.Angel,2.Angel,3.Caught Up In the Rapture,4.You Bring Me Joy,5.Giving You the Best That I Got (Single Version)"
"Boyz II Men",5,"6O74knDqdv3XaWtkII7Xjp","https://i.scdn.co/image/c8b0d67be35852171d04d7309c2cfe1992a8a4eb","1.Hey Lover,2.Let It Snow,3.Hey Lover,4.Hey Lover,5.A Song For Mama"
"Cardi B",5,"4kYSro6naA4h99UJvo89HB","https://i.scdn.co/image/ab6761610000e5eb4e8a7e14e2f602eb9af24e31","1.Tomorrow 2,2.Money,3.Bongos,4.MotorSport,5.Tomorrow 2"
"Chaka Khan",5,"6mQfAAqZGBzIfrmlZCeaYT","https://i.scdn.co/image/ab6761610000e5eb87b0c6a4811964bd1b7d701f","1.Ain't Nobody,2.Ain't Nobody,3.Ain't Nobody,4.Ain't Nobody,5.Sweet Thing"
"Lil Wayne",5,"55Aa2cqylxrFIXC767Z865","https://i.scdn.co/image/ab6761610000e5ebc1c08e541eae3cc82c6988c4","1.Only,2.Bandz A Make Her Dance,3.Mrs. Officer,4.Tunechi's Back,5.You"
"Ludacris",5,"3ipn9JLAPI5GUEo4y4jcoi","https://i.scdn.co/image/adcc1cb654e89f2e404688ae0d1bbc942ce02e5d","1.Stand Up,2.Yeah!,3.Country Sh*t (Remix),4.Rollercoaster,5.Tonight (Best You Ever Had)"
"Rufus",5,"3MCjwjfIor5FkK3h639qkW","https://i.scdn.co/image/4a36e06de8d3b2378a1e614fa610a6795008bf5a","1.Ain't Nobody,2.Ain't Nobody,3.Ain't Nobody,4.Ain't Nobody,5.Sweet Thing"
"Sade",5,"47zz7sob9NUcODy0BTDvKx","https://i.scdn.co/image/ab6761610000e5eb92883b0e094a36d2f43ad284","1.Cherish the Day,2.By Your Side,3.Love Is Stronger Than Pride,4.The Sweetest Taboo,5.Nothing Can Come Between Us"
"syd B",5,"6cBSgFUoVWA9CIA159x2Jr","https://i.scdn.co/image/ab6761610000e5ebf46993f9a06f2c513ecc9172","1.ARE YOU FEELING IT TOO?,2.ARE YOU FEELING IT TOO?,3.ARE YOU FEELING IT TOO?,4.ARE YOU FEELING IT TOO?,5.ARE YOU FEELING IT TOO?"
"Bruno Mars",4,"0du5cEVh5yTK9QJze8zA0C","https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd","1.Wake Up in the Sky,2.Love's Train,3.Count On Me,4.24K Magic"
"Bryson Tiller",4,"2EMAnMvWE2eb56ToJVfCWs","https://i.scdn.co/image/ab6761610000e5eb078fdd734b7f0aa782328428","1.Wild Thoughts,2.Could've Been ,3.Don't,4.Could've Been "
"Ciara",4,"2NdeV5rLm47xAvogXrYhJX","https://i.scdn.co/image/ab6761610000e5eb7aba0bf3576fe56c2b367c83","1.One, Two Step (feat. Missy Elliot),2.Body  Party,3.The Title,4.Level Up"
"Doja Cat",4,"5cj0lLjcoR7YOSnhnX0Po5","https://i.scdn.co/image/ab6761610000e5ebe94f88ff74ae4ddcab961f97","1.Woman,2.Woman,3.Rules,4.Like That"
"John Legend",4,"5y2Xq6xcjJb2jVM54GHK3t","https://i.scdn.co/image/ab6761610000e5eb01784e44ffd1a339350f4417","1.Home,2.One Last Dance,3.So High,4.Tonight (Best You Ever Had)"
"JoJo",4,"5xuNBZoM7z1Vv8IQ6uM0p6","https://i.scdn.co/image/ab6761610000e5eb7f5338888bacde64445c90e8","1.Love Reggae,2.Mad Love.,3.Cheat,4.Worst (I Assume)"
"Kelly Rowland",4,"3AuMNF8rQAKOzjYppFNAoB","https://i.scdn.co/image/ab6761610000e5eb7c614a2b3cedfc53e4679c2e","1.Put Your Name On It,2.Love Again,3.Keep It Between Us,4.Coffee"
"Kendrick Lamar",4,"2YZyLoL8N0Wb9xBt1NhZWg","https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022","1.PRIDE.,2.Bitch, Don't Kill My Vibe,3.The Art of Peer Pressure,4.LOYALTY"
